2250000 0.388 68.117 4.434 -1175.212 0.000 65.328 -1109.884 107.218  3070 1.125 31.687 0
2260000 0.387 68.117 4.434 -1196.757 0.000 67.860 -1128.898 114.720  3108 1.130 31.564 0
2270000 0.387 68.117 4.434 -1174.011 0.000 61.787 -1112.224 121.817  3066 1.135 31.555 0
2280000 0.387 68.117 4.435 -1164.526 0.000 59.712 -1104.813 112.606  3040 1.140 31.559 0
2290000 0.387 68.117 4.435 -1179.287 0.000 69.677 -1109.610 108.372  3078 1.145 31.514 0
2300000 0.387 68.117 4.435 -1170.099 0.000 62.140 -1107.960 112.483  3106 1.150 31.538 0
2310000 0.387 68.117 4.435 -1180.932 0.000 73.106 -1107.826 107.709  3074 1.155 31.464 0
2320000 0.386 68.117 4.436 -1162.888 0.000 67.558 -1095.330 114.195  3090 1.160 31.418 0
2330000 0.387 68.117 4.436 -1173.333 0.000 78.944 -1094.388 135.368  3100 1.165 31.360 0
2340000 0.387 68.117 4.436 -1189.750 0.000 73.036 -1116.715 103.436  3084 1.170 31.442 0
2350000 0.387 68.117 4.436 -1155.165 0.000 69.267 -1085.898 117.609  3054 1.175 31.443 0
2360000 0.387 68.117 4.437 -1159.030 0.000 75.116 -1083.914 120.992  3014 1.180 31.224 0
2370000 0.387 68.117 4.437 -1182.262 0.000 65.307 -1116.955 135.055  3110 1.185 31.278 0
2380000 0.388 68.117 4.437 -1167.554 0.000 62.965 -1104.589 112.674  3030 1.190 31.347 0
2390000 0.387 68.117 4.437 -1180.197 0.000 69.254 -1110.943 112.828  3054 1.195 31.428 0
2400000 0.386 68.117 4.438 -1169.358 0.000 68.137 -1101.221 125.749  3090 1.200 31.486 0
2410000 0.387 68.117 4.438 -1172.015 0.000 72.384 -1099.631 110.474  3066 1.205 31.607 0
2420000 0.387 68.117 4.438 -1174.666 0.000 66.946 -1107.719 120.395  3060 1.210 31.696 0
2430000 0.387 68.117 4.438 -1179.526 0.000 69.068 -1110.458 120.994  3098 1.215 31.545 0
2440000 0.387 68.117 4.439 -1182.046 0.000 69.976 -1112.070 110.861  3092 1.220 31.292 0
2450000 0.386 68.117 4.439 -1174.017 0.000 73.115 -1100.902 119.585  3070 1.225 31.332 0
2460000 0.386 68.117 4.439 -1173.460 0.000 71.501 -1101.959 102.602  3094 1.230 31.153 0
2470000 0.387 68.117 4.439 -1194.527 0.000 79.757 -1114.770 106.102  3092 1.235 30.920 0
2480000 0.387 68.117 4.440 -1161.996 0.000 69.067 -1092.929 123.103  3064 1.240 30.999 0
2490000 0.387 68.117 4.440 -1193.160 0.000 74.565 -1118.595 115.707  3102 1.245 30.946 0
2500000 0.387 68.117 4.440 -1169.636 0.000 74.166 -1095.470 115.104  3048 1.250 31.079 0
2510000 0.386 68.117 4.440 -1180.969 0.000 63.784 -1117.186 117.525  3092 1.255 31.199 0
2520000 0.386 68.117 4.441 -1160.084 0.000 64.110 -1095.975 105.431  3096 1.260 31.155 0
2530000 0.387 68.117 4.441 -1169.707 0.000 60.757 -1108.950 126.327  3066 1.265 31.212 0
2540000 0.387 68.117 4.441 -1173.290 0.000 66.357 -1106.933 114.194  3048 1.270 31.222 0
